City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Guapore,BR,-28.8456,-51.8903,79.0,79,55,6.02,broken clouds
322,Kruisfontein,ZA,-34.0033,24.7314,71.01,86,100,5.99,overcast clouds
323,Somerset,US,40.5668,-74.5496,44.6,39,1,4.61,clear sky
324,Port Blair,IN,11.6667,92.75,77.81,77,49,11.39,scattered clouds
325,Beyneu,KZ,45.3167,55.2,24.22,94,77,8.9,broken clouds
326,Evans,US,33.5337,-82.1307,50.0,76,90,4.72,overcast clouds
327,Hamina,FI,60.5697,27.1979,17.01,86,90,19.57,light snow
328,Springville,US,40.1652,-111.6107,34.0,74,1,4.61,clear sky
329,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.91,84,71,1.1,moderate rain
330,Yacuiba,BO,-22.038,-63.6797,69.8,94,90,11.5,light rain
331,Namibe,AO,-15.1961,12.1522,72.75,75,99,9.46,overcast clouds
332,Bouca,CF,6.5105,18.2733,73.08,20,48,3.06,scattered clouds
333,Codrington,AU,-38.2667,141.9667,49.35,93,76,8.14,broken clouds
334,Kismayo,SO,-0.3582,42.5454,77.45,79,0,17.45,clear sky
335,Tautira,PF,-17.7333,-149.15,84.0,69,75,5.75,light rain
336,Tianpeng,CN,30.9866,103.9393,39.99,93,0,4.47,mist
337,Rosetown,CA,51.5501,-108.0014,25.0,86,39,5.75,scattered clouds
338,Kitaibaraki,JP,36.7833,140.75,39.99,73,0,6.24,clear sky
339,Matay,EG,28.419,30.7792,63.95,32,100,4.07,overcast clouds
340,Nago,JP,26.5881,127.9761,55.4,71,75,3.44,broken clouds
341,Killybegs,IE,54.6333,-8.45,41.0,81,90,10.36,heavy intensity rain
342,Pilar,BR,-9.5972,-35.9567,84.2,70,75,13.8,broken clouds
343,Obigarm,TJ,38.7173,69.7088,26.1,59,0,6.82,clear sky
344,Loandjili,CG,-4.7561,11.8578,80.6,83,40,6.91,scattered clouds
345,Santa Rosa,PH,14.3122,121.1114,75.0,83,20,10.69,few clouds
