City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Bandarbeyla,SO,73.08,scattered clouds,9.4942,50.8122,JABIR HOTEL
413,Ribeira Grande,PT,60.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
414,Meulaboh,ID,75.6,broken clouds,4.1363,96.1285,Kost Pria
415,Campbell River,CA,50.0,mist,50.0163,-125.2446,Ramada by Wyndham Campbell River
416,Mogadishu,SO,76.8,scattered clouds,2.0371,45.3438,Hotel Juba
417,Easton,US,43.0,clear sky,40.6884,-75.2207,Grand Eastonian Hotel & Suites
418,Vao,NC,77.83,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
419,Lake Havasu City,US,55.99,clear sky,34.4839,-114.3224,Heat Hotel
420,Kashan,IR,44.42,clear sky,33.9831,51.4364,Manouchehri Traditional House
421,Katsuura,JP,35.6,mist,35.1333,140.3,Katsuura Hotel Mikazuki
422,Constantine,DZ,39.2,scattered clouds,36.365,6.6147,Grand Hotel Cirta
424,Coari,BR,83.12,light rain,-4.085,-63.1414,HOTEL ALEX FLAT
425,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
426,Hede,CN,35.22,clear sky,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
429,Sitka,US,41.0,light rain,57.0531,-135.33,Westmark Sitka
